"stockid","stocklong","country","region","area","species","comm_name"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Sebastes fasciatus","Acadian redfish"
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Hippoglossoides platessoides","American plaice"
"ATHAL5YZ","Atlantic halibut Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Hippoglossus hippoglossus","Atlantic halibut"
"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Micropogonias undulatus","Atlantic croaker"
"AWOLF5YZ","Atlantic wolffish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Anarhichas lupus","Atlantic wolffish"
"BCRABCHESB","Blue crab Chesapeake Bay","USA","US East Coast","Chesapeake Bay","Callinectes sapidus","Blue crab"
"BLUEFISHATLC","Bluefish Atlantic Coast","USA","US East Coast","Atlantic Coast","Pomatomus saltatrix","Bluefish"
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Centropristis striata","Black sea bass"
"BSKAT5YZSNE","Barndoor skate Gulf of Maine / Georges Bank-Southern New England","USA","US East Coast","Gulf of Maine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate"
"BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","USA","US East Coast","Gulf of Maine / Cape Hatteras","Peprilus triacanthus","Atlantic butterfish"
"CODGB","Atlantic cod Georges Bank","USA","US East Coast","Georges Bank","Gadus morhua","Atlantic cod"
"CODGOM","Atlantic cod Gulf of Maine","USA","US East Coast","Gulf of Maine","Gadus morhua","Atlantic cod"
"CSKATMATLC","Clearnose skate Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Raja eglanteria","Clearnose skate"
"HAD5Y","Haddock Gulf of Maine","USA","US East Coast","Gulf of Maine","Melanogrammus aeglefinus","Haddock"
"HADGB","Haddock Georges Bank","USA","US East Coast","Georges Bank","Melanogrammus aeglefinus","Haddock"
